Lines,Station_Name,Station_Name_CH,Station_Name_TM,Opening,Name,Abbr,Location,Bus_Interchange,lat,lon,datetime,Opening_YM
 EW5 ,Bedok,勿洛,பிடோக்,4 November 1989,Chai Chee,BDK,Bedok,Bus transport Bedok Bus Interchange,1.3240113000000002,103.9301725,1989-11-01T00:00:00Z,1989-11
 EW6 ,Kembangan,景万岸,கெம்பாங்கான்,4 November 1989,Frankel,KEM,Bedok,,1.3209998,103.91290390000002,1989-11-01T00:00:00Z,1989-11
 EW7 ,Eunos,友诺士,யூனுஸ்,4 November 1989,Eunos,EUN,Geylang,Bus transport Eunos Bus Interchange,1.3197341999999999,103.90288829999999,1989-11-01T00:00:00Z,1989-11
 EW8  CC9 ,Paya Lebar,巴耶利峇,பாய லேபார்,4 November 1989,Paya Lebar,PYL,Geylang,,1.3181607,103.8931436,1989-11-01T00:00:00Z,1989-11
 EW9 ,Aljunied,阿裕尼,அல்ஜூனிட்,4 November 1989,Aljunied,ALJ,Geylang,,1.3163668,103.8827723,1989-11-01T00:00:00Z,1989-11
 EW10 ,Kallang,加冷,காலாங்,4 November 1989,Geylang,KAL,Kallang,Bus transport Lorong 1 Geylang Bus Terminal,1.3114784,103.8713507,1989-11-01T00:00:00Z,1989-11
 EW11 ,Lavender,劳明达,லவண்டர்,4 November 1989,Crawford,LVR,Kallang,,1.3074261,103.862848,1989-11-01T00:00:00Z,1989-11
 EW12  DT14 ,Bugis,武吉士,பூகிஸ்,4 November 1989,"Rochore, Victoria",BGS,"Downtown Core, Rochor",,1.3006608,103.85586190000001,1989-11-01T00:00:00Z,1989-11
 EW15 ,Tanjong Pagar,丹戎巴葛,தஞ்சோங் பகார்,12 December 1987,Maxwell,TPG,Downtown Core,,1.2763419,103.84679240000001,1987-12-01T00:00:00Z,1987-12
 EW16  NE3  TE17 ,Outram Park,欧南园,ஊட்ரம் பார்க்,12 December 1987,Outram Park,OTP,"Bukit Merah, Outram",Bus transport Kampong Bahru Bus Terminal,1.2802063999999997,103.84026659999999,1987-12-01T00:00:00Z,1987-12
 EW17 ,Tiong Bahru,中峇鲁,தியோங் பாரு,12 March 1988,Tiong Bahru,TIB,Bukit Merah,,1.2865018,103.8269778,1988-03-01T00:00:00Z,1988-03
 EW18 ,Redhill,红山,ரெட்ஹில்,12 March 1988,Alexandra,RDH,Bukit Merah,,1.2896415,103.81679820000001,1988-03-01T00:00:00Z,1988-03
 EW19 ,Queenstown,女皇镇,குவீன்ஸ்டவுன்,12 March 1988,"Princess, Commonwealth",QUE,Queenstown,,1.2948351999999999,103.8059016,1988-03-01T00:00:00Z,1988-03
 EW20 ,Commonwealth,联邦,காமன்வெல்த்,12 March 1988,Queenstown,COM,Queenstown,,1.3023957,103.7983157,1988-03-01T00:00:00Z,1988-03
 EW21  CC22 ,Buona Vista,波那维斯达,புவன விஸ்தா,12 March 1988,North Buona Vista,BNV,Queenstown,Bus transport Buona Vista Bus Terminal,1.3072964,103.7901128,1988-03-01T00:00:00Z,1988-03
 EW22 ,Dover,杜弗,டோவெர்,18 October 2001,Polytechnic,DVR,Queenstown,,1.3113926,103.77860679999999,2001-10-01T00:00:00Z,2001-10
 EW23 ,Clementi,金文泰,கிளிமெண்டி,12 March 1988,Clementi,CLE,Clementi,Bus transport Clementi Bus Interchange,1.3150696000000002,103.7652462,1988-03-01T00:00:00Z,1988-03
 EW25 ,Chinese Garden,裕华园,சீனத் தோட்டம்,5 November 1988,Jurong Lake,CNG,Jurong East,,1.3424249,103.73259240000002,1988-11-01T00:00:00Z,1988-11
 EW26 ,Lakeside,湖畔,ஏரிக்கரை,5 November 1988,Corporation,LKS,Jurong West,,1.344243,103.72077540000001,1988-11-01T00:00:00Z,1988-11
 EW27  JS8 ,Boon Lay,文礼,பூன் லே,6 July 1990,Jurong West,BNL,Jurong West,Bus transport Boon Lay Bus Interchange,1.3385559,103.7058277,1990-07-01T00:00:00Z,1990-07
 EW28 ,Pioneer,先驱,பயனியர்,28 February 2009,Pioneer,PNR,Jurong West,,1.3376018,103.6974089,2009-02-01T00:00:00Z,2009-02
 EW29 ,Joo Koon,裕群,ஜூ கூன்,28 February 2009,Joo Koon,JKN,Pioneer Planning Area,Bus transport Joo Koon Bus Interchange,1.3277513,103.6783178,2009-02-01T00:00:00Z,2009-02
