Lines,Station_Name,Station_Name_CH,Station_Name_TM,Opening,Name,Abbr,Location,Bus_Interchange,lat,lon,datetime
 CC6 ,Stadium,体育场,ஸ்டேடியம்,17 April 2010,Boulevard,SDM,Kallang,,1.3027829,103.8754063,2010-04-17T00:00:00Z
 CC7 ,Mountbatten,蒙巴登,மவுண்ட்பேட்டன்,17 April 2010,Old Airport Road,MBT,"Geylang, Kallang",,1.3060844,103.8831531,2010-04-17T00:00:00Z
 CC8 ,Dakota,达科达,டகோட்டா,17 April 2010,Tanjong Katong,DKT,Geylang,,1.30841,103.888814,2010-04-17T00:00:00Z
 CC10  DT26 ,MacPherson,麦波申,மெக்பர்சன்,17 April 2010,MacPherson,MPS,Geylang,,1.3267049,103.8898898,2010-04-17T00:00:00Z
 CC11 ,Tai Seng,大成,தை செங்,17 April 2010,Upper Paya Lebar,TSG,"Hougang, Toa Payoh",,1.3358756,103.8877164,2010-04-17T00:00:00Z
 CC12 ,Bartley,巴特礼,பார்ட்லி,28 May 2009,Bartley,BLY,"Serangoon, Toa Payoh",,1.3428695,103.8796386,2009-05-28T00:00:00Z
 CC14 ,Lorong Chuan,罗弄泉,லோரோங் சுவான்,28 May 2009,Lorong Chuan,LRC,Serangoon,,1.3514978,103.8649467,2009-05-28T00:00:00Z
 CC16 ,Marymount,玛丽蒙,மேரிமவுண்ட்,28 May 2009,Marymount,MRM,Bishan,,1.3490142,103.8390947,2009-05-28T00:00:00Z
 CC17  TE9 ,Caldecott,加利谷,கால்டிகாட்,8 October 2011,Thomson,CDT,Toa Payoh,,1.3375953,103.8396058,2011-10-08T00:00:00Z
 CC19  DT9 ,Botanic Gardens,植物园,பூ மலை,8 October 2011,Adam,BTN,Tanglin,,1.3138397,103.8159136,2011-10-08T00:00:00Z
 CC20 ,Farrer Road,花拉路,ஃபேரர் சாலை,8 October 2011,Farrer,FRR,"Bukit Timah, Tanglin",,1.3175741,103.807711,2011-10-08T00:00:00Z
 CC21 ,Holland Village,荷兰村,ஹாலந்து வில்லேஜ்,8 October 2011,Holland,HLV,Bukit Timah,,1.3111457,103.7961408,2011-10-08T00:00:00Z
 CC23 ,one-north,纬壹,ஒன்-நார்த்,8 October 2011,one-north,ONH,Queenstown,,1.2998113,103.7875947,2011-10-08T00:00:00Z
 CC24 ,Kent Ridge,肯特岗,கெண்ட் ரிஜ்,8 October 2011,NUH,KRG,Queenstown,,1.2935861,103.7844513,2011-10-08T00:00:00Z
 CC25 ,Haw Par Villa,虎豹别墅,ஹா பர் வில்லா,8 October 2011,West Coast,HPV,Queenstown,,1.283106,103.7819799,2011-10-08T00:00:00Z
 CC26 ,Pasir Panjang,巴西班让,பாசிர் பாஞ்சாங்,8 October 2011,Pasir Panjang,PPJ,Queenstown,,1.2760684,103.7919037,2011-10-08T00:00:00Z
 CC27 ,Labrador Park,拉柏多公园,லாப்ரடார் பூங்கா,8 October 2011,Alexandra,LBD,Bukit Merah,,1.2721259,103.8025575,2011-10-08T00:00:00Z
 CC28 ,Telok Blangah,直落布兰雅,தெலுக் பிளாங்கா,8 October 2011,Telok Blangah,TLB,Bukit Merah,,1.2707152,103.809878,2011-10-08T00:00:00Z
 CE1  DT16 ,Bayfront,海湾舫,பேஃபிரண்ட்,14 January 2012,Bayfront,BFT,Downtown Core,,1.2813386,103.8589551,2012-01-14T00:00:00Z
 DT1  BP6 ,Bukit Panjang,武吉班让,புக்கிட் பாஞ்சாங்,27 December 2015,Petir,BPJ,"Bukit Batok, Bukit Panjang, Choa Chu Kang",Bus transport Bukit Panjang Bus Interchange,1.2760684,103.7919037,2015-12-27T00:00:00Z
 DT2 ,Cashew,凯秀,கேஷ்யூ,27 December 2015,Cashew,CSW,"Bukit Batok, Bukit Panjang",,1.3699756,103.7645794,2015-12-27T00:00:00Z
 DT3 ,Hillview,山景,ஹில்வியூ,27 December 2015,Hillview,HVW,"Bukit Batok, Bukit Panjang",,1.3630377,103.7674128,2015-12-27T00:00:00Z
 DT5 ,Beauty World,美世界,பியூட்டி வோர்ல்ட்,27 December 2015,Beauty World,BTW,Bukit Timah,,1.3415532,103.7757466,2015-12-27T00:00:00Z
 DT6 ,King Albert Park,阿尔柏王园,கிங் ஆல்பர்ட் பார்க்,27 December 2015,Blackmore,KAP,Bukit Timah,,1.3356884,103.7831926,2015-12-27T00:00:00Z
 DT7 ,Sixth Avenue,第六道,சிக்ஸ்த் அவென்யூ,27 December 2015,Sixth Avenue,SAV,Bukit Timah,,1.3311776,103.7972016,2015-12-27T00:00:00Z
 DT8 ,Tan Kah Kee,陈嘉庚,டான் கா கீ,27 December 2015,Duchess,TKK,Bukit Timah,,1.3257996,103.8079556,2015-12-27T00:00:00Z
 DT10  TE11 ,Stevens,史蒂芬,ஸ்டீவன்ஸ்,27 December 2015,Stevens,STV,Tanglin,,1.3199584,103.8259427,2015-12-27T00:00:00Z
 DT13 ,Rochor,梧槽,ரோச்சோர்,27 December 2015,Rochor,RCR,Rochor,,1.3035362,103.8525596,2015-12-27T00:00:00Z
 DT17 ,Downtown,市中心,டௌன்டவுன்,22 December 2013,Landmark,DTN,Downtown Core,,1.2794576,103.8528128,2013-12-22T00:00:00Z
 DT18 ,Telok Ayer,直落亚逸,தெலுக் ஆயர்,22 December 2013,Cross Street,TLA,"Downtown Core, Outram",,1.282221,103.8485947,2013-12-22T00:00:00Z
 DT20 ,Fort Canning,福康宁,ஃபோர்ட் கெனிங்,21 October 2017,River Valley,FCN,"Museum Planning Area, Singapore River Planning Area",,1.2921101,103.844762,2017-10-21T00:00:00Z
